Which one is it?	I'm sorry?
I'm sorry?	Anniversary.
Anniversary.	Oh. Fortieth
Do you have a bathroom?	Straight back, on the left. It's unisex.
Straight back, on the left. It's unisex.	Thank you.
The Baldwins.	What about them?
What about them?	We had dinner with them three years ago. You talked about your parent's anniversary.
The opening doesn't work.	Duh.
It was your idea.	No it wasn't.
No it wasn't.	Well, it wasn't mine. It couldn't be; it's too stupid.
Well, it wasn't mine. It couldn't be; it's too stupid.	Why do you do that? why do you have to get personal?
Rusty. What do you want from me?	I want what I paid for.
The fearlessness ?  The grace ?  Of course But there's something else.  Something in the eyes.  	Excuse me, Mr. Bloom?
Excuse me, Mr. Bloom?	Yes?
Yes?	There appears to be a problem with your card.
There appears to be a problem with your card.	You take Visa?
You take Visa?	I was acting on instructions from your business manager.
How many can't make the deadline?	So I'm smarter than those schmucks on Wall Street. Whose fault is that?
We're on the five o'clock.	Good.
Reuben.	I wanted to wish you luck. And listen: I want to do something for you.
It's all taken care of.  	That's very touching, Reuben.
What are you doing in Amsterdam?	Only what I have to do to get Benedict off our backs.
Only what I have to do to get Benedict off our backs.	Be careful, Danny. Please.
Be careful, Danny. Please.	How's work?
How's work?	It's the same. I'm distracted.
It's the same. I'm distracted.	I'm sorry.
I'm sorry.	It's not your fault.
It's not your fault.	I keep trying to figure out what I did wrong. How did he find us?
I keep trying to figure out what I did wrong. How did he find us?	Danny, don't keep thinking about it.
The Swinging Priest?	Not enough time.
Not enough time.	Crazy Larry.
Crazy Larry.	Too many variables.
Too many variables.	Robinov's Revenge?
Robinov's Revenge?	Too many obstacles.
Too many obstacles.	The Soft Shoulder.
The Soft Shoulder.	Not enough people.
Not enough people.	Baker's Dozen.
Baker's Dozen.	We'd need a woman.
Can't train the cat that quickly.	I can't have my wife watch me hauled off in handcuffs again.
I can't have my wife watch me hauled off in handcuffs again.	It's always about you, isn't it?
It's always about you, isn't it?	This like running toward a cliff. Speaking of which, how's Isabel?
This like running toward a cliff. Speaking of which, how's Isabel?	I have no idea what you're talking about.
I have no idea what you're talking about.	You get the tattoo removed?
You get the tattoo removed?	Given its location, my doctor advised against it.
Given its location, my doctor advised against it.	What are you doing?
What are you doing?	We're here.
We're here.	Oh.
So, Basher approached me about being on a crew.	When?
Counterfeiting? Me? I have to tell you, it's not something I condone. It's cheating.	It is cheating.
It is cheating.	There's no subtlety to it.
There's no subtlety to it.	It's kind of embarrassing.
It's kind of embarrassing.	No one I know...
No one I know...	I can't imagine anything like that.
I can't imagine anything like that.	Not bad.
Not bad.	Bolivia.
Bolivia.	Diego's people?
Well. Congratulations.	I told him about you.
It's where the crossbow bolt hit.	A crossbow bolt?
A crossbow bolt?	Ever heard of Franz Schuman?
They would have fired from that roof. Through this open window.	From that roof, through this window? Nobody could make a shot like that.
From that roof, through this window? Nobody could make a shot like that.	Not a cop, anyway.
Not a cop, anyway.	What's that supposed to mean?
What's that supposed to mean?	Sorry. Your friend downstairs put me in a bad mood.
Sorry. Your friend downstairs put me in a bad mood.	He's an idiot. You shouldn't let him bother you.
Jesus, how many of you are there?	Just give us the stock certificate. Whatever else you took out of that safe...it's yours.
Just give us the stock certificate. Whatever else you took out of that safe...it's yours.	No. But: I leave you with something.
Are you sure?	I'm sure there's another scenario that would fit these physical details, but I don't know what it is.
It's great to see you.	Is it? Because you've been seeing a lot of me lately.
